stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
111036,111036,S STONE MOUNTAIN LITHONIA RD @ REDAN EAST,0 STONE MOUNTAIN LITHO & REDAN EAST,33.743986,-84.128388,0,,,,,0
111038,111038,S STONE MOUNTAIN LITHONIA RD @ 2270,,33.741267,-84.122427,,,,,,0
112174,112174,OAK ST SW @ JOSEPH E LOWERY BLVD,0 OAK ST SW & JOSEPH E LOWERY BLVD SW,33.740633,-84.417915,0,,,,,1
113004,113004,OGLETHORPE AVE SW @ GORDON PL SW,0 OGLETHORPE AVE SW & GORDON PL SW,33.735853,-84.419238,,,,,,1
113005,113005,OGLETHORPE AVE SW @ PEEPLES ST SW,0 OGLETHORPE AVE SW & PEEPLES ST SW,33.735852,-84.420325,,,,,,1
113006,113006,OGLETHORPE AVE SW @ LAWTON ST SW,0 OGLETHORPE & LAWTON,33.735836,-84.423225,,,,,,0
113008,113008,LAWTON ST SW @ MATHEWS ST SW,0 LAWTON ST SW & MATHEWS ST SW,33.734668,-84.4234,,,,,,1
113012,113012,LAWTON ST SW @ DONNELLY AVE SW,0 LAWTON ST SW & DONNELLY AVE SW,33.73208,-84.424516,0,,,,,0
113014,113014,DONNELLY AVE SW @ OAKLAND DR SW,0 DONNELLY AVE SW & OAKLAND DR SW,33.733018,-84.42681,,,,,,0
113016,113016,DONNELLY AVE SW @ BERNICE ST SW,0 DONNELLY AVE SW & BERNICE ST SW,33.736468,-84.432456,,,,,,1
113020,113020,DONNELLY AVE SW @ ALLEGHENY ST SW,0 DONNELLY AVE SW & ALLEGHENY ST SW,33.73502,-84.430084,0,,,,,1
113032,113032,DONNELLY AVE @ BERNICE ST,0 DONNELLY & BERNICE,33.736531,-84.432789,0,,,,,1
113036,113036,DONNELLY AVE SW @ ALLEGHENY ST SW,0 DONNELLY AVE SW & ALLEGHENY ST SW,33.734823,-84.429954,0,,,,,1
113040,113040,DONNELLY AVE SW @ BEECHER ST SW,0 DONNELLY AVE SW & ATWOOD ST SW,33.733259,-84.427354,,,,,,0
113044,113044,LAWTON ST SW @ DONNELLY AVE SW,0 LAWTON ST SW & HALL ST SW,33.732205,-84.424288,0,,,,,1
113048,113048,LAWTON ST SW @ MATHEWS ST SW,0 LAWTON ST SW & MATHEWS ST SW,33.734623,-84.423302,,,,,,0
113050,113050,LAWTON ST SW @ OGLETHORPE AVE SW,0 LAWTON ST SW & OGLETHORPE AVE SW,33.735733,-84.423314,,,,,,1
113052,113052,OGLETHORPE AVE SW @ PEEPLES ST SW,0 OGLETHORPE AVE SW & PEEPLES ST SW,33.735771,-84.420543,,,,,,0
113053,113053,OGLETHORPE AVE SW @ AZALIA ST SW,0 OGLETHORPE & AZALIA,33.735746,-84.419201,,,,,,1
113054,113054,OGLETHORPE AVE SW @ JOSEPH E LOWERY BLVD,0 OGLETHORPE AVE SW & JOSEPH E LOWERY BLVD SW,33.735791,-84.417804,0,,,,,0
113064,113064,RALPH D ABERNATHY BLVD SW @ JOSEPH E LOWERY BLVD SW,0 RALPH DAVID ABERNATHY BLVD SW & JOSEPH E LOWERY BLVD SW,33.738051,-84.418448,0,,,,,1
113068,113068,RALPH DAVID ABERNATH BLVD @ PEEPLES S,0 RALPH DAVID ABERNATH & PEEPLES,33.738061,-84.420235,0,,,,,1
113072,113072,RALPH D ABERNATHY BLVD SW @ LAWTON ST SW,0 RALPH DAVID ABERNATHY BLVD SW & LAWTON ST SW,33.73845,-84.42327,0,,,,,1
